j,dist
53994,1.2492494397347664
27849,1.2492541737268061
20193,1.2492542660117296
27830,1.2492580087338299
31159,1.2492639403626458
5802,1.2492887112948237
63404,1.2493076564765118
51404,1.249382761450752
51287,1.2493843223522814
27489,1.2494931099704387
60743,1.2494993227008548
15353,1.249551368902946
31157,1.2496100454141474
62157,1.2496496555304657
28319,1.249665430217765
27488,1.2496697298639126
25938,1.2496888489725757
57681,1.249767781264276
57680,1.2497750477679952
46388,1.249809975307847
25939,1.2498793469214344
15355,1.249944937559354
15352,1.249979819004584
54946,1.2500923342442816
51946,1.2501140732793203
9954,1.2501186906744273
53995,1.25013600370451
12962,1.250233475743795
20501,1.2503262357649714
46389,1.2503284570290754
9955,1.250381263541075
5254,1.2504121047348649
47696,1.2505091517143707
20500,1.2505474938123224
43941,1.2505588434026564
62704,1.2505624581653014
43947,1.2506370407686358
5255,1.2506691164887902
34352,1.2507133026924908
15354,1.250726005321272
69613,1.2507812542137269
62705,1.250803660566198
51936,1.2508347846867744
68771,1.250950359543091
33346,1.2509761654826033
69612,1.2510217235313905
12957,1.2510224265290535
9196,1.251024683385724
33349,1.2510404736084875
45743,1.2510452739136864
9197,1.251046699783276
51947,1.2510561865357657
47697,1.2511514314311967
43946,1.2511963047868468
7973,1.2512287570898895
51937,1.2512581581934805
20316,1.2512644348749047
38897,1.2512939852022686
68160,1.2513661911054537
4197,1.2513948509913786
61799,1.2514018922976373
21591,1.2514133435558847
38896,1.251445868289632
7972,1.2514856464325261
58381,1.2515531347610613
30870,1.2516150485628885
34353,1.251635575760937
68161,1.251640192986907
20317,1.2517079433026888
61797,1.251776855213514
37245,1.251819862918594
6619,1.2518348704756563
47082,1.2518462608538163
33430,1.2518762680669397
4196,1.2519153900845703
46163,1.2519448250641885
47083,1.251949089635248
61796,1.251978060668943
22953,1.2519995591873996
58380,1.2520251245208651
38235,1.2520290034628092
10523,1.2520385589023912
57395,1.2520522195147592
17848,1.2520666859867648
44988,1.2521191422381568
43791,1.2521617426312002
6618,1.2522092265335922
57195,1.2522296138132265
23637,1.252235017978327
